,name,lat,lon,startup distance,startup lat,startup lon,design distance,design lat,design lon,starbucks distance,starbucks lat,starbucks lon,airport distance,airport lat,airport lon,school distance,school lat,school lon,club distance,club lat,club lon,vegan distance,vegan lat,vegan lon,stadium distance,stadium lat,stadium lon,pet services distance,pet services lat,pet services lon
23,3scale,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
24,3scale,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
25,3scale,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
26,3scale,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
27,3scale,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
28,3scale,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
29,3scale,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
30,3scale,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
31,3scale,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
32,3scale,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
33,3scale,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
34,3scale,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
35,3scale,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
36,3scale,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
37,3scale,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
38,3scale,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
