,name,lat,lon,startup distance,startup lat,startup lon,design distance,design lat,design lon,starbucks distance,starbucks lat,starbucks lon,airport distance,airport lat,airport lon,school distance,school lat,school lon,club distance,club lat,club lon,vegan distance,vegan lat,vegan lon,stadium distance,stadium lat,stadium lon,pet services distance,pet services lat,pet services lon
0,e-contratos,39.469301,-0.377068,129,39.469993,-0.375853,290,39.469913,-0.373776,144,39.467075,-0.374612,2694,39.492016,-0.38806,102,39.468433,-0.376655,203,39.470653,-0.37549,47,39.469071,-0.377547,311,39.466551,-0.376036,1142,39.459688,-0.383472
1,Modo Marketing,39.64073,-0.421944,10444,39.552132,-0.46279,12235,39.59592,-0.552432,17226,39.490932,-0.473209,16778,39.492016,-0.38806,6721,39.589308,-0.463278,11410,39.585261,-0.539931,10064,39.594372,-0.320787,6973,39.5857,-0.461105,11722,39.57913,-0.533096
2,Efebege,39.4502107,-0.3924646,1132,39.459232,-0.386196,409,39.448897,-0.388003,2559,39.467075,-0.374612,1605,39.443457,-0.375957,608,39.44521,-0.389581,1232,39.45883,-0.38342,1813,39.460272,-0.376026,718,39.452388,-0.400345,1363,39.459688,-0.383472
3,DOMODESK,39.4612679,-0.3983456,865,39.46575,-0.388911,866,39.465528,-0.389309,2031,39.470706,-0.377834,2740,39.443457,-0.375957,84,39.462031,-0.398385,832,39.467858,-0.393719,1180,39.46947,-0.389599,1001,39.452388,-0.400345,1305,39.459688,-0.383472
4,H2scan,34.4421433,-118.5987647,1102,34.438503,-118.587461,2126,34.434036,-118.578185,1266,34.432812,-118.59106,1885,34.431715,-118.58253,92,34.442975,-118.598795,1685,34.436329,-118.581779,2290,34.442697,-118.573834,2380,34.452466,-118.621615,3299,34.436411,-118.563348
