,name,lat,lon,startup distance,startup lat,startup lon,design distance,design lat,design lon,starbucks distance,starbucks lat,starbucks lon,airport distance,airport lat,airport lon,school distance,school lat,school lon,club distance,club lat,club lon,vegan distance,vegan lat,vegan lon,stadium distance,stadium lat,stadium lon,pet services distance,pet services lat,pet services lon
80,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
81,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
82,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
83,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
84,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
85,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
86,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
87,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
88,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
89,Daily Flat Rental,40.412323,-3.703248,567,40.416979,-3.706057,357,40.409888,-3.705905,581,40.417539,-3.702775,429,40.414757,-3.69931,604,40.410374,-3.696515,24,40.412294,-3.703514,42,40.412631,-3.703219,497,40.41678,-3.70379,626,40.407176,-3.700312
